index,dong,gid,val
0,오쇠동,11500113,0.0
1,오곡동,11500112,0.0
2,과해동,11500111,0.0
3,개화동,11500110,67.0
4,외발산동,11500107,308.0
5,마곡동,11500105,436.0
6,공항동,11500108,447.0
7,화곡동,11500103,572.0
8,방화동,11500109,705.0
9,등촌동,11500102,772.0
10,내발산동,11500106,845.0
11,가양동,11500104,1111.0
12,염창동,11500101,1131.0
