index,dong,gid,val
0,오곡동,11500112,5
1,오쇠동,11500113,6
2,과해동,11500111,15
3,외발산동,11500107,91
4,개화동,11500110,148
5,내발산동,11500106,235
6,공항동,11500108,244
7,염창동,11500101,303
8,가양동,11500104,403
9,방화동,11500109,501
10,마곡동,11500105,551
11,등촌동,11500102,554
12,화곡동,11500103,1849
