index,dong,gid,val
0,외발산동,11500107,54573.0
1,오쇠동,11500113,54573.0
2,오곡동,11500112,54573.0
3,과해동,11500111,54573.0
4,마곡동,11500105,54572.0
5,가양동,11500104,7411.0
6,염창동,11500101,6789.0
7,방화동,11500109,3328.0
8,등촌동,11500102,2746.0
9,내발산동,11500106,2637.0
10,화곡동,11500103,1870.0
11,공항동,11500108,1052.0
12,개화동,11500110,419.0
