index,dong,gid,val
0,오쇠동,11500113,0.0
1,과해동,11500111,0.0
2,오곡동,11500112,1.0
3,외발산동,11500107,10.0
4,개화동,11500110,11.0
5,공항동,11500108,73.0
6,마곡동,11500105,99.0
7,가양동,11500104,110.0
8,화곡동,11500103,117.0
9,등촌동,11500102,133.0
10,염창동,11500101,134.0
11,방화동,11500109,139.0
12,내발산동,11500106,190.0
