사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021021000100381,2021년 2월 10일 16시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,48세,상해없음,이륜,남,39세,경상
2021021000100427,2021년 2월 10일 17시,수요일,서울특별시 강서구 공항동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,자전거,여,13세,상해없음,보행자,여,50세,경상
2021021000100541,2021년 2월 10일 19시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,승용,남,71세,경상
2021021000100670,2021년 2월 10일 21시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,35세,경상
2021021100100127,2021년 2월 11일 13시,목요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,44세,중상,승용,남,65세,상해없음
2021021100100319,2021년 2월 11일 21시,목요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,45세,상해없음,이륜,남,61세,경상
2021021100100320,2021년 2월 11일 21시,목요일,서울특별시 강서구 개화동,경상사고,0,0,3,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,52세,경상,승용,남,37세,경상
2021021200100072,2021년 2월 12일 12시,금요일,서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,23세,상해없음,승합,남,48세,경상
2021021200100210,2021년 2월 12일 19시,금요일,서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,45세,상해없음,이륜,남,48세,경상
2021021300100052,2021년 2월 13일 11시,토요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,24세,상해없음,보행자,여,55세,경상
2021021300100242,2021년 2월 13일 18시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,여,27세,경상
2021021400100021,2021년 2월 14일 07시,일요일,서울특별시 강서구 등촌동,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,남,63세,경상
2021021400100193,2021년 2월 14일 18시,일요일,서울특별시 강서구 염창동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,남,81세,사망
2021021500100138,2021년 2월 15일 12시,월요일,서울특별시 강서구 등촌동,중상사고,0,1,1,0,차대차 - 추돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,승합,남,50세,상해없음
2021021500100445,2021년 2월 15일 22시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,59세,경상
2021021600100313,2021년 2월 16일 16시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,56세,상해없음,승용,남,42세,경상
2021021600100482,2021년 2월 16일 21시,화요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,이륜,남,53세,상해없음,보행자,여,39세,중상
